"line","frequency","Term"
"6",27,"jar"
"8",71,"streamlin"
"9",33,"the"
"11",40,"what"
"20",39,"act"
"21",21,"alexandria"
"23",31,"brook"
"24",34,"childish"
"25",46,"creat"
"27",69,"dan"
"28",71,"ewok"
"30",29,"ijust"
"32",45,"jb"
"33",50,"josh"
"34",42,"keith"
"36",54,"mark"
"49",64,"10factsaboutm"
"52",66,"140cuse"
"53",33,"140mtlcommut"
"56",26,"21jumpstreet"
"57",61,"250"
"58",69,"2brokegirl"
"60",38,"3333"
"62",56,"3wordsfory"
"64",25,"40"
"68",33,"5boro"
"70",47,"911"
"71",57,"abq"
"73",57,"afghanistan"
"74",30,"agirljustw"
"78",30,"allstarweekend"
"80",60,"analyt"
"82",22,"artist"
"83",45,"asa2011"
"84",28,"askalexconstancio"
"86",27,"assholes"
"87",27,"att"
"90",24,"baltimor"
"92",35,"baseballboyfriend"
"93",53,"basketb"
"94",28,"bbn"
"95",46,"beach"
"96",54,"bear"
"97",28,"belieb"
"98",39,"belieberhelpbelieb"
"100",49,"bestbritishband"
"101",54,"bestfriendsforev"
"102",46,"bestpickuplin"
"105",36,"blazer"
"107",38,"bookinadai"
"112",73,"bronco"
"115",42,"bruin"
"116",22,"bude"
"118",32,"cancer"
"120",20,"caribbean"
"122",28,"catalog"
"125",46,"centralfl"
"126",33,"checkrid"
"127",38,"cheeseburg"
"130",20,"childrenslit"
"132",20,"chittychitti"
"133",32,"christianbal"
"134",33,"cityglamev"
"139",29,"codeyear"
"144",63,"coolkid"
"145",47,"cpchat"
"147",70,"crui"
"149",28,"cubanfest"
"153",23,"deezythursdai"
"154",27,"dellworld"
"155",22,"design"
"157",55,"detroit"
"158",68,"didyouknow"
"159",48,"dietrib"
"161",22,"discount"
"162",40,"dj"
"163",21,"dnd"
"164",22,"dog"
"167",41,"dontgo"
"168",73,"dressag"
"170",48,"dtl2011"
"172",22,"dwill"
"174",56,"ecclesia2012"
"176",47,"edchat"
"180",20,"emchat"
"181",23,"emerge2012asu"
"182",37,"escapefromnewyork"
"183",59,"espn"
"184",57,"europ"
"185",31,"experiencejoerogan"
"186",40,"fact"
"187",54,"failur"
"188",32,"fairyt"
"191",60,"fantabuloso"
"192",35,"fantasybaseb"
"193",58,"fcc"
"194",66,"ferrisbuel"
"195",92,"ff"
"196",20,"fiction"
"198",64,"foodtruck"
"199",57,"ford"
"200",60,"free"
"201",48,"fridai"
"206",32,"fsu"
"207",29,"ftw12"
"208",27,"fucku"
"210",69,"funniestthingiheardtodai"
"211",60,"gaykidissu"
"212",37,"geek"
"213",49,"gen8"
"214",50,"genev"
"217",32,"glee"
"218",31,"glutenfr"
"219",57,"gnuplot"
"224",33,"goodnight"
"225",57,"gophoenix"
"226",37,"gotomeet"
"227",25,"gotrib"
"232",38,"greek"
"238",26,"heart"
"239",112,"heat"
"241",42,"hitmebabyonemoretim"
"243",53,"hogab"
"245",61,"holyshit"
"247",20,"hospic"
"248",70,"houston"
"251",34,"ihatetobreakittoy"
"256",83,"in"
"259",52,"inspir"
"263",58,"islammademereali"
"264",52,"istoppedbelievinginsantawhen"
"267",55,"ithoughtyouwerecuteuntil"
"268",31,"iv"
"273",54,"joetheplumb"
"277",59,"kickstart"
"280",30,"korra"
"284",64,"lamarathon"
"285",64,"lasvega"
"289",52,"lfi2012"
"292",53,"liesivetoldmypar"
"297",22,"lion"
"298",48,"lion"
"302",77,"lose"
"304",37,"love"
"306",36,"lrt"
"309",58,"manli"
"311",62,"marklog"
"313",50,"mav"
"314",50,"mbta"
"316",65,"mdh"
"321",23,"mentionto"
"322",38,"mgol"
"323",37,"miamibeach"
"325",57,"mittromnei"
"326",65,"mkedai"
"330",22,"mobil"
"331",33,"mondai"
"335",42,"moverslongisland"
"337",29,"mulkei"
"339",23,"mxpresidentialdeb"
"342",21,"nafsa"
"343",53,"nasatweetup"
"344",50,"nbafin"
"346",59,"ndsu"
"348",21,"newmexico"
"349",63,"newyork"
"350",63,"nf"
"356",37,"nononono"
"359",33,"nyc"
"361",35,"obama"
"362",27,"obsess"
"364",26,"occupymilwauk"
"366",57,"octav"
"367",83,"of"
"368",68,"officialwinn"
"372",60,"ommaglob"
"374",44,"onthatradiomusicsocieti"
"376",23,"opoliv"
"377",47,"origin"
"379",57,"osx"
"384",48,"packer"
"387",73,"patriot"
"388",44,"paulbot"
"392",23,"pen"
"395",29,"pipa"
"398",57,"poker"
"399",40,"ppandf2"
"403",83,"random"
"405",20,"ranger"
"407",41,"realmus"
"414",41,"replacebandnameswithboob"
"415",55,"republican"
"416",48,"resolut"
"419",38,"rivoli"
"420",40,"rocki"
"421",35,"romnei"
"422",61,"rootintootin"
"423",57,"royal"
"424",29,"rwa"
"426",23,"sandiego"
"427",38,"saptrainrac"
"429",28,"sbcsb"
"434",62,"senatedeb"
"439",23,"sinceimbeinghonest"
"440",99,"slpeep"
"441",57,"smbmad"
"442",52,"smckc"
"444",27,"smwcampaign"
"447",33,"sohappi"
"448",29,"sopa"
"449",51,"sotu"
"450",22,"special"
"452",42,"sportingkc"
"453",29,"sschat"
"455",44,"steelern"
"459",46,"supernatur"
"460",76,"swag"
"461",26,"switchusf"
"462",113,"sxsw"
"463",29,"sxswi"
"466",83,"tag"
"468",35,"tarot"
"469",44,"tasteofmadison"
"470",47,"tauru"
"471",59,"teamfresh"
"472",63,"tebowgottradedfor"
"475",41,"texasrang"
"476",22,"text"
"477",58,"tge"
"480",56,"the"
"482",22,"thebestthinginlifei"
"484",42,"thematrix"
"485",64,"themirag"
"486",28,"theoffic"
"487",38,"thepraisableshow"
"488",32,"theprestig"
"490",23,"thingsthatiwanttohappen"
"491",20,"thingsthatmakemesmil"
"492",23,"thissummerimtryna"
"494",54,"thuglov"
"497",41,"tonight"
"498",58,"toomuchhappen"
"503",44,"turntoy"
"510",31,"ur"
"511",48,"usffw"
"515",24,"vctm"
"516",37,"vendingmachin"
"518",67,"viggl"
"520",24,"vste"
"523",46,"weather"
"524",49,"webgreektip"
