"line","frequency","term","prediction"
"34",27,"jar","of"
"35",71,"streamlin","mail"
"36",33,"the","need"
"38",40,"what","i"
"256",39,"act","host"
"257",21,"alexandria","pennei"
"259",46,"creat","11"
"261",69,"dan","fornari"
"262",71,"ewok","kid"
"264",29,"ijust","lai"
"266",50,"josh","ritter"
"267",42,"keith","urban"
"268",54,"mark","twain"
"270",23,"p","have"
"284",51,"1","anim"
"288",64,"10factsaboutm","i"
"291",66,"140cuse","it"
"292",33,"140mtlcommut","tomorrow"
"295",58,"2","march"
"299",26,"21jumpstreet","thi"
"300",61,"250","throw"
"301",69,"2brokegirl","i"
"302",43,"3","katherin"
"303",37,"3","on"
"309",56,"3wordsfory","i"
"312",25,"40","down"
"316",34,"5","kuerig"
"317",33,"5boro","nyc"
"321",62,"9","don"
"322",41,"9","mephisto"
"324",57,"afghanistan","so"
"325",30,"agirljustw","someon"
"329",60,"analyt","we"
"331",22,"artist","and"
"332",45,"asa2011","i"
"333",28,"askalexconstancio","p"
"335",27,"att","no"
"338",24,"baltimor","oriol"
"340",35,"baseballboyfriend","app"
"341",50,"basketb","season"
"343",28,"bbn","that"
"344",46,"beach","do"
"345",54,"bear","alshon"
"346",28,"belieb","forev"
"347",39,"belieberhelpbelieb","right"
"349",49,"bestbritishband","gotta"
"350",54,"bestfriendsforev","thuglov"
"351",46,"bestpickuplin","damn"
"354",36,"blazer","we"
"356",38,"bookinadai","i"
"360",73,"bronco","14"
"363",42,"bruin","behind"
"364",22,"bude","and"
"365",32,"cancer","ar"
"366",20,"caribbean","childrenslit"
"368",28,"catalog","anoth"
"371",46,"centralfl","beach"
"372",33,"checkrid","sohappi"
"373",38,"cheeseburg","well"
"376",20,"childrenslit","fiction"
"378",20,"chittychitti","again"
"379",32,"christianbal","overund"
"380",33,"cityglamev","follow"
"385",29,"codeyear","from"
"390",47,"cpchat","how"
"392",70,"crui","line"
"395",23,"deezythursdai","the"
"396",27,"dellworld","line"
"397",22,"design","make"
"399",55,"detroit","fiscal"
"400",68,"didyouknow","dure"
"401",48,"dietrib","see"
"403",22,"discount","from"
"404",21,"dnd","ad"
"405",22,"dog","i"
"408",41,"dontgo","in"
"409",73,"dressag","tip"
"411",48,"dtl2011","great"
"413",22,"dwill","gonna"
"415",56,"ecclesia2012","oklahoma"
"417",47,"edchat","cpchat"
"421",20,"emchat","mt"
"422",23,"emerge2012asu","present"
"423",37,"escapefromnewyork","to"
"424",59,"espn","had"
"425",57,"europ","best"
"426",31,"experiencejoerogan","app"
"427",40,"fact","doe"
"428",54,"failur","to"
"429",32,"fairyt","rt"
"432",60,"fantabuloso","holi"
"433",35,"fantasybaseb","app"
"434",58,"fcc","rule"
"435",66,"ferrisbuel","commerci"
"438",60,"ff","hottest"
"441",21,"ff","local"
"444",20,"fiction","suggest"
"446",64,"foodtruck","food"
"447",57,"ford","speak"
"448",60,"free","analyt"
"449",48,"fridai","and"
"454",32,"fsu","but"
"455",29,"ftw12","fem"
"456",27,"fucku","assholes"
"458",69,"funniestthingiheardtodai","you"
"459",60,"gaykidissu","not"
"460",37,"geek","love"
"461",49,"gen8","i"
"462",50,"genev","class"
"467",31,"glutenfr","browni"
"468",57,"gnuplot","all"
"473",33,"goodnight","and"
"474",37,"gotomeet","cc"
"475",25,"gotrib","love"
"479",38,"greek","and"
"485",26,"heart","i"
"486",62,"heat","got"
"487",50,"heat","v"
"490",53,"hogab","half"
"491",61,"holyshit","that"
"493",20,"hospic","for"
"494",70,"houston","weather"
"495",26,"i","wanna"
"498",34,"ihatetobreakittoy","but"
"502",83,"in","thi"
"505",52,"inspir",""
"509",58,"islammademereali","i"
"510",52,"istoppedbelievinginsantawhen","i"
"513",55,"ithoughtyouwerecuteuntil","you"
"514",31,"iv","from"
"519",54,"joetheplumb","again"
"522",59,"kickstart","onc"
"525",30,"korra","had"
"530",64,"lamarathon","expo"
"531",64,"lasvega","less"
"535",52,"lfi2012","booth"
"538",53,"liesivetoldmypar","i"
"541",22,"lion","and"
"542",48,"lion","packer"
"545",77,"lose","i"
"547",37,"love","i"
"548",36,"lrt","my"
"552",62,"marklog","document"
"554",50,"mav","nbafin"
"555",50,"mbta","kiosk"
"557",65,"mdh","staff"
"560",23,"mentionto","someon"
"561",38,"mgol","tonight"
"563",57,"mittromnei","how"
"564",65,"mkedai","thank"
"568",33,"mondai","goodnight"
"572",42,"moverslongisland","readi"
"574",29,"mulkei","on"
"576",23,"mxpresidentialdeb","said"
"580",53,"nasatweetup","guest"
"581",50,"nbafin","good"
"583",59,"ndsu","graduat"
"586",21,"newmexico","with"
"587",63,"newyork","zap"
"588",63,"nf","appreci"
"594",37,"nononono","plea"
"600",27,"obsess","with"
"602",26,"occupymilwauk","todai"
"604",57,"octav","on"
"605",83,"of","cour"
"606",68,"officialwinn","rt"
"609",60,"ommaglob","visit"
"612",47,"origin","p"
"614",57,"osx","wa"
"621",73,"patriot","27"
"622",44,"paulbot","realli"
"626",23,"pen","fan"
"629",29,"pipa","rwa"
"631",57,"poker","room"
"632",40,"ppandf2","plan"
"635",83,"random","hash"
"637",20,"ranger","thi"
"645",41,"replacebandnameswithboob","five"
"646",55,"republican","want"
"649",38,"rivoli","theatr"
"650",40,"rocki","win"
"653",61,"rootintootin","weekend"
"654",57,"royal","fan"
"655",29,"rwa","and"
"656",22,"sandiego","text"
"660",28,"sbcsb","championship"
"664",62,"senatedeb","think"
"669",23,"sinceimbeinghonest","ur"
"670",55,"slpeep","at"
"671",44,"slpeep","need"
"672",57,"smbmad","ford"
"673",52,"smckc","happi"
"678",33,"sohappi","but"
"679",29,"sopa","pipa"
"680",51,"sotu","speech"
"681",22,"special","offer"
"683",42,"sportingkc","a"
"687",44,"steelern","alameda"
"690",23,"swag","a"
"691",48,"sxsw","attend"
"692",65,"sxsw","fam"
"693",29,"sxswi","registr"
"696",83,"tag","word"
"698",35,"tarot","sai"
"699",44,"tasteofmadison","adventur"
"700",47,"tauru","the"
"701",59,"teamfresh","i"
"702",63,"tebowgottradedfor","store"
"705",41,"texasrang","fool"
"706",22,"text","igobig"
"707",58,"tge","goin"
"709",56,"the","truth"
"711",22,"thebestthinginlifei","the"
"713",42,"thematrix","i"
"714",64,"themirag","in"
"715",28,"theoffic","flatout"
"716",38,"thepraisableshow","talk"
"717",32,"theprestig","love"
"719",23,"thingsthatiwanttohappen","for"
"720",20,"thingsthatmakemesmil","famili"
"721",23,"thissummerimtryna","surround"
"725",41,"tonight","go"
"726",58,"toomuchhappen","with"
"731",44,"turntoy",""
"738",48,"usffw","and"
"742",24,"vctm","present"
"743",37,"vendingmachin","get"
"745",67,"viggl","my"
"747",24,"vste","meet"
"750",46,"weather","bluefield"
"752",47,"werememb","911"
"753",57,"westminsterdogshow","i"
"755",53,"wewantaustinmahoneverifi","becuz"
"758",70,"whenwillitend","sick"
"759",32,"whitepeoplegooglesearch","who"
"762",37,"win","eatsmart"
"764",66,"wine","with"
"765",77,"win","lol"
"767",27,"worlds50best","restaur"
"768",67,"wrestlemania","for"
"770",49,"wsop","will"
"773",32,"yee","gonna"
"775",63,"zap","me"
"776",49,"zombi","right"
"777",49,"zombi","would"
"783",74,"1","000"
"784",62,"1","0000"
"791",29,"100","a"
"792",22,"100","from"
"793",29,"100","mark"
"796",21,"107hr","a"
"797",77,"120","dollar"
"798",36,"13","000"
"801",35,"14g","358th"
"802",33,"15","a"
"803",67,"15","best"
"804",38,"15","www"
"806",34,"150","profit"
"808",49,"15m","firstplac"
"811",46,"19","99"
"812",49,"1m","buyin"
"813",57,"2","1"
"817",25,"20","in"
"820",22,"20",""
"821",49,"200","million"
"823",45,"22","falk"
"824",33,"22","for"
"825",59,"25","award"
"827",34,"296","097"
"829",34,"299","these"
"831",63,"3","00"
"834",21,"3","99lb"
"837",36,"3000","and"
"839",35,"358th","we"
"840",45,"4","barrett"
"841",33,"4","trillion"
"843",38,"45","000"
"844",34,"450","on"
"845",63,"5","00"
"848",33,"5","for"
"849",38,"5","greek"
"850",22,"5","via"
"851",39,"50","at"
"852",39,"50","the"
"853",40,"500yard","fabric"
"854",36,"5000","00"
"856",21,"53","50hr"
"857",36,"5500","a"
"858",41,"560","after"
"865",21,"612","monei"
"866",27,"7","50"
"867",29,"7","billion"
"868",42,"70h","for"
"869",61,"75","all"
"870",56,"76","for"
"871",24,"78","cute"
"873",33,"8","trillion"
"876",23,"9","million"
"1098",61,"amp","white"
"1099",26,"but","dont"
"1102",45,"lt","3"
"1123",28,"1","book"
"1125",29,"it","i"
"1127",46,"100","busi"
"1128",46,"cal","todai"
"1132",38,"amaz","just"
"1133",42,"burgh","verifi"
"1134",50,"charli","ticket"
"1138",33,"fri","i"
"1140",38,"guinsoo","type"
"1141",21,"heart8","and"
"1143",33,"i","dont"
"1144",44,"like","it"
"1146",28,"mucho","when"
"1147",40,"not","a"
"1148",61,"proce","to"
"1149",29,"shoot","box"
"1150",27,"shudder","and"
"1151",54,"sigh","roll"
"1152",22,"t","i"
"1154",54,"wake","up"
"1209",25,"ll","probabl"
"1210",36,"meet","our"
"1211",25,"the","hell"
"1234",23,"claud","monet"
"1236",38,"henri","jame"
"1239",46,"th","notebook"
"1241",68,"william","shakespear"
"1258",61,"1","000"
"1262",53,"brunett","all"
"1266",50,"3","i"
"1267",21,"3","we"
"1270",31,"3","brook"
"1272",23,"3","mentionto"
