"line","frequency","term_1","term_2","prediction"
"36",27,"jar","of","clay"
"37",33,"the","need","for"
"38",40,"what","i","it"
"307",39,"act","host","ðÿ"
"309",46,"creat","11","new"
"310",69,"dan","fornari","marin"
"312",29,"ijust","lai","there"
"315",23,"p","have","a"
"329",51,"1","anim","style"
"333",64,"10factsaboutm","i","m"
"336",66,"140cuse","it","was"
"339",58,"2","march","graphic"
"342",26,"21jumpstreet","thi","movi"
"343",61,"250","throw","agatewar"
"344",69,"2brokegirl","i","pick"
"345",43,"3","katherin","bingham"
"346",37,"3","on","www"
"352",56,"3wordsfory","i","love"
"355",25,"40","down","the"
"359",34,"5","kuerig","coffe"
"363",62,"9","don","t"
"364",41,"9","mephisto","hardcor"
"366",57,"afghanistan","so","far"
"367",30,"agirljustw","someon","faithful"
"371",60,"analyt","we","r"
"373",22,"artist","and","design"
"374",45,"asa2011","i","ll"
"375",28,"askalexconstancio","p","s"
"376",27,"att","no","amount"
"379",24,"baltimor","oriol","bird"
"381",35,"baseballboyfriend","app","in"
"382",50,"basketb","season","is"
"384",28,"bbn","that","how"
"385",46,"beach","do","you"
"386",54,"bear","alshon","jeffery"
"387",39,"belieberhelpbelieb","right","6"
"389",49,"bestbritishband","gotta","go"
"390",46,"bestpickuplin","damn","you"
"392",36,"blazer","we","are"
"393",38,"bookinadai","i","progress"
"397",73,"bronco","14","close"
"400",42,"bruin","behind","at"
"401",22,"bude","and","dwill"
"402",32,"cancer","ar","big"
"403",20,"caribbean","childrenslit","fiction"
"405",28,"catalog","anoth","time"
"408",46,"centralfl","beach","do"
"409",33,"checkrid","sohappi","but"
"410",38,"cheeseburg","well","we"
"412",20,"childrenslit","fiction","suggest"
"414",20,"chittychitti","again","by"
"415",32,"christianbal","overund","30"
"416",33,"cityglamev","follow","i"
"420",29,"codeyear","from","see"
"425",47,"cpchat","how","can"
"426",70,"crui","line","that"
"428",23,"deezythursdai","the","onli"
"429",27,"dellworld","line","between"
"430",22,"design","make","the"
"432",55,"detroit","fiscal","crisis"
"433",68,"didyouknow","dure","a"
"434",48,"dietrib","see","you"
"436",22,"discount","from","gobig"
"437",21,"dnd","ad","red"
"438",22,"dog","i","about"
"440",41,"dontgo","in","the"
"441",73,"dressag","tip","spend"
"443",48,"dtl2011","great","experience"
"445",22,"dwill","gonna","get"
"447",56,"ecclesia2012","oklahoma","mission"
"449",47,"edchat","cpchat","how"
"452",20,"emchat","mt","admission"
"453",23,"emerge2012asu","present","how"
"454",37,"escapefromnewyork","to","summarize"
"455",59,"espn","had","a"
"457",31,"experiencejoerogan","app","for"
"458",40,"fact","doe","not"
"459",54,"failur","to","the"
"460",32,"fairyt","rt","cancer"
"461",60,"fantabuloso","holi","shittttt"
"462",35,"fantasybaseb","app","central"
"464",66,"ferrisbuel","commerci","for"
"467",60,"ff","hottest","blond"
"470",21,"ff","local","style"
"472",20,"fiction","suggest","please"
"475",60,"free","analyt","we"
"476",48,"fridai","and","u"
"481",32,"fsu","but","i"
"482",29,"ftw12","fem","theori"
"484",69,"funniestthingiheardtodai","you","seem"
"485",60,"gaykidissu","not","be"
"486",37,"geek","love","i"
"487",49,"gen8","i","first"
"488",50,"genev","class","have"
"492",57,"gnuplot","all","i"
"496",25,"gotrib","love","my"
"500",38,"greek","and","you"
"506",26,"heart","i","at"
"507",62,"heat","got","this"
"508",50,"heat","v","mav"
"510",53,"hogab","half","of"
"511",61,"holyshit","that","was"
"513",20,"hospic","for","young"
"514",26,"i","wanna","skip"
"517",34,"ihatetobreakittoy","but","you"
"521",83,"in","thi","tweet"
"527",58,"islammademereali","i","worldwid"
"528",52,"istoppedbelievinginsantawhen","i","got"
"531",55,"ithoughtyouwerecuteuntil","you","told"
"532",31,"iv","from","the"
"539",59,"kickstart","onc","a"
"542",30,"korra","had","the"
"548",64,"lasvega","less","than"
"552",52,"lfi2012","booth","1908"
"555",53,"liesivetoldmypar","i","m"
"560",77,"lose","i","m"
"562",37,"love","i","think"
"563",36,"lrt","my","friend"
"567",62,"marklog","document","to"
"569",50,"mav","nbafin","good"
"570",50,"mbta","kiosk","to"
"572",65,"mdh","staff","chief"
"575",23,"mentionto","someon","who"
"576",38,"mgol","tonight","see"
"577",57,"mittromnei","how","much"
"578",65,"mkedai","thank","for"
"582",33,"mondai","goodnight","and"
"586",42,"moverslongisland","readi","to"
"588",29,"mulkei","on","her"
"590",23,"mxpresidentialdeb","said","he"
"594",53,"nasatweetup","guest","to"
"595",50,"nbafin","good","matchup"
"598",21,"newmexico","with","been"
"599",63,"newyork","zap","me"
"600",63,"nf","appreci","the"
"606",37,"nononono","plea","tell"
"613",57,"octav","on","osx"
"614",83,"of","cour","i"
"615",68,"officialwinn","rt","ok"
"618",60,"ommaglob","visit","us"
"622",57,"osx","wa","setenv"
"626",73,"patriot","27","bronco"
"627",44,"paulbot","realli","believ"
"631",23,"pen","fan","suck"
"634",29,"pipa","rwa","and"
"636",57,"poker","room","today"
"637",40,"ppandf2","plan","meet"
"640",83,"random","hash","tag"
"642",20,"ranger","thi","year"
"649",41,"replacebandnameswithboob","five","finger"
"650",55,"republican","want","to"
"653",38,"rivoli","theatr","with"
"654",40,"rocki","win","53"
"657",61,"rootintootin","weekend","cuz"
"658",57,"royal","fan","i"
"659",29,"rwa","and","now"
"660",22,"sandiego","text","igobig"
"664",28,"sbcsb","championship","final"
"667",62,"senatedeb","think","i"
"672",23,"sinceimbeinghonest","ur","a"
"673",55,"slpeep","at","what"
"674",44,"slpeep","need","too"
"675",57,"smbmad","ford","speak"
"676",52,"smckc","happi","hour"
"680",29,"sopa","pipa","rwa"
"681",51,"sotu","speech","last"
"684",42,"sportingkc","a","great"
"690",23,"swag","a","that"
"691",48,"sxsw","attend","let"
"692",65,"sxsw","fam","record"
"693",29,"sxswi","registr","check"
"696",83,"tag","word","in"
"698",35,"tarot","sai","about"
"699",47,"tauru","the","fact"
"700",59,"teamfresh","i","am"
"701",63,"tebowgottradedfor","store","brand"
"704",22,"text","igobig","to"
"705",58,"tge","goin","live"
"708",56,"the","truth","hurts"
"710",22,"thebestthinginlifei","the","feel"
"712",42,"thematrix","i","on"
"713",64,"themirag","in","lasvegas"
"714",28,"theoffic","flatout","bad"
"715",38,"thepraisableshow","talk","music"
"716",32,"theprestig","love","me"
"718",23,"thingsthatiwanttohappen","for","thing"
"719",20,"thingsthatmakemesmil","famili","take"
"720",23,"thissummerimtryna","surround","my"
"724",41,"tonight","go","out"
"735",48,"usffw","and","great"
"739",24,"vctm","present","on"
"740",37,"vendingmachin","get","in"
"742",67,"viggl","my","way"
"745",46,"weather","bluefield","west"
"747",57,"westminsterdogshow","i","dvr"
"748",53,"wewantaustinmahoneverifi","becuz","he"
"751",70,"whenwillitend","sick","human"
"752",32,"whitepeoplegooglesearch","who","is"
"754",37,"win","eatsmart","precis"
"757",27,"worlds50best","restaur","awards"
"758",67,"wrestlemania","for","me"
"760",49,"wsop","will","be"
"763",32,"yee","gonna","be"
"765",63,"zap","me","to"
"766",49,"zombi","right","watch"
"767",49,"zombi","would","rise"
"772",36,"1","000","00"
"774",33,"1","000","food"
"781",29,"100","a","month"
"782",22,"100","from","the"
"783",29,"100","mark","whi"
"786",21,"107hr","a","a"
"787",77,"120","dollar","today"
"788",36,"13","000","the"
"791",35,"14g","358th","we"
"792",33,"15","a","month"
"793",67,"15","best","deal"
"794",38,"15","www","tristatespeeddating"
"796",34,"150","profit","befor"
"798",49,"15m","firstplac","prize"
"801",46,"19","99","plus"
