"line","frequency","term_1","term_2","term_2","prediction"
"34",33,"the","need","for","more"
"35",40,"what","i","it","about"
"294",46,"creat","11","new","question"
"295",69,"dan","fornari","marin","geologist"
"297",29,"ijust","lai","there","shake"
"300",23,"p","have","a","great"
"311",51,"1","anim","style","plea"
"315",64,"10factsaboutm","i","m","scare"
"318",66,"140cuse","it","wa","spectacular"
"321",58,"2","march","graphic","novel"
"324",26,"21jumpstreet","thi","movi","i"
"325",61,"250","throw","agatewar","cup"
"326",69,"2brokegirl","i","pick","up"
"327",37,"3","on","www","reverbn"
"331",56,"3wordsfory","i","love","you"
"334",25,"40","down","the","drain"
"337",34,"5","kuerig","coff","maker"
"341",62,"9","don","t","miss"
"342",41,"9","mephisto","hardcor","favorit"
"344",57,"afghanistan","so","far","it"
"348",60,"analyt","we","r","in"
"350",22,"artist","and","design","make"
"351",45,"asa2011","i","ll","be"
"352",28,"askalexconstancio","p","","love"
"353",27,"att","no","amount","of"
"356",24,"baltimor","oriol","bird","who"
"358",35,"baseballboyfriend","app","in","fantasybaseb"
"359",50,"basketb","season","i","almost"
"361",28,"bbn","that","how","we"
"362",46,"beach","do","you","frequent"
"363",54,"bear","alshon","jefferi","alreadi"
"365",49,"bestbritishband","gotta","go","with"
"366",46,"bestpickuplin","damn","you","got"
"368",38,"bookinadai","i","progress","realli"
"372",73,"bronco","14","close","until"
"375",42,"bruin","behind","at","the"
"376",22,"bude","and","dwill","gonna"
"377",32,"cancer","ar","big","believ"
"378",20,"caribbean","childrenslit","fiction","suggest"
"379",28,"catalog","anoth","time","capsul"
"382",46,"centralfl","beach","do","you"
"383",38,"cheeseburg","well","we","v"
"384",20,"childrenslit","fiction","suggest","pleas"
"386",20,"chittychitti","again","by","the"
"387",32,"christianbal","overund","30","minut"
"388",33,"cityglamev","follow","i","m"
"392",29,"codeyear","from","see","a"
"397",47,"cpchat","how","can","you"
"398",70,"crui","line","that","poach"
"400",23,"deezythursdai","the","onli","dai"
"401",27,"dellworld","line","between","biz"
"402",22,"design","make","the","world"
"404",55,"detroit","fiscal","crisi","consent"
"405",68,"didyouknow","dure","a","total"
"406",48,"dietrib","see","you","at"
"408",22,"discount","from","gobig","print"
"409",21,"dnd","ad","red","wine"
"410",22,"dog","i","about","to"
"412",41,"dontgo","in","the","backyard"
"413",73,"dressag","tip","spend","a"
"416",22,"dwill","gonna","get","it"
"418",56,"ecclesia2012","oklahoma","mission","team"
"420",47,"edchat","cpchat","how","can"
"423",20,"emchat","mt","admiss","offic"
"424",23,"emerge2012asu","present","how","will"
"425",37,"escapefromnewyork","to","summar","futurist"
"426",59,"espn","had","a","wifi"
"428",31,"experiencejoerogan","app","for","android"
"429",40,"fact","doe","not","relea"
"430",54,"failur","to","the","cook"
"431",32,"fairyt","rt","cancer","ar"
"432",35,"fantasybaseb","app","central","just"
"434",66,"ferrisbuel","commerci","for","honda"
"437",60,"ff","hottest","blond","after"
"440",21,"ff","local","style","guid"
"443",60,"free","analyt","we","r"
"444",48,"fridai","and","u","know"
"449",32,"fsu","but","i","went"
"450",29,"ftw12","fem","theori","workshop"
"451",69,"funniestthingiheardtodai","you","seem","veri"
"452",60,"gaykidissu","not","be","abl"
"453",37,"geek","love","i","think"
"454",49,"gen8","i","first","step"
"455",50,"genev","class","have","a"
"459",57,"gnuplot","all","i","need"
