"line","frequency","output","input"
"5",2,"h","h"
"6",27,"jars","jar"
"7",7,"no","no"
"8",71,"streamlined","streamlin"
"9",33,"the","the"
"10",6,"walt","walt"
"11",40,"what","what"
"15",1,"128","128"
"16",2,"1974","1974"
"17",8,"20","20"
"18",7,"34","34"
"19",1,"48","48"
"20",39,"act","act"
"21",21,"alexandria","alexandria"
"22",2,"and","and"
"23",31,"brooke","brook"
"24",34,"childish","childish"
"25",46,"create","creat"
"26",2,"cynthia","cynthia"
"27",69,"dan","dan"
"28",71,"ewok","ewok"
"29",15,"headoverheals","headoverh"
"30",29,"ijust","ijust"
"31",2,"its","it"
"32",45,"jb","jb"
"33",50,"josh","josh"
"34",42,"keith","keith"
"35",19,"lol","lol"
"36",54,"mark","mark"
"37",11,"monet","monet"
"38",1,"oprah","oprah"
"39",6,"proverbs","proverb"
"40",2,"psylocke","psylock"
"41",11,"relaxed","relax"
"42",10,"robert","robert"
"43",15,"started","start"
"44",7,"the","the"
"45",8,"time","time"
"46",16,"to","to"
"47",2,"was","wa"
"48",1,"10basicfactsaboutme","10basicfactsaboutm"
"49",64,"10factsaboutme","10factsaboutm"
"50",8,"123","123"
"51",15,"130137","130137"
"52",66,"140cuse","140cuse"
"53",33,"140mtlcommute","140mtlcommut"
"54",1,"15","15"
"55",9,"21","21"
"56",26,"21jumpstreet","21jumpstreet"
"57",61,"250","250"
"58",69,"2brokegirls","2brokegirl"
"59",3,"33","33"
"60",38,"3333","3333"
"61",2,"3b","3b"
"62",56,"3wordsforyou","3wordsfory"
"63",7,"4","4"
"64",25,"40","40"
"65",8,"40yearoldvirgin","40yearoldvirgin"
"66",3,"42","42"
"67",3,"49ersfaithful","49ersfaith"
"68",33,"5boro","5boro"
"69",2,"62","62"
"70",47,"911","911"
"71",57,"abq","abq"
"72",9,"adrintro","adrintro"
"73",57,"afghanistan","afghanistan"
"74",30,"agirljustwants","agirljustw"
"75",1,"agoodgirlfriend","agoodgirlfriend"
"76",1,"agt","agt"
"77",3,"ala","ala"
